Date,Operator,Scheme Name,Area,Approval Number,Recovery Method,Bitumen Production
2010-01-01,Baytex Energy Ltd. (¹),Cliffdale Pilot,Peace River Area 2,11034E,Commercial-CSS,0.0
2010-01-01,North Peace Energy Corp.,Red Earth,Peace River Area 2,11209A,Commercial-CSS,10.3
2010-01-01,Penn West Petroleum Ltd.,Seal,Peace River Area 2,11377A,Commercial-CSS,0.0
2010-01-01,Baytex Energy Ltd. (¹²),Harmon Valley Pilot,Peace River Area 2,11551,Commercial-CSS,0.0
2010-01-01,Shell Canada Limited,Peace River,Peace River Area 2,8143L,Commercial-CSS,1340.08
2010-01-01,Imperial Oil Resources (¹),Cold Lake,Cold Lake,8558P,Commercial-CSS,23584.24
2010-01-01,Canadian Natural Resources Limited (¹),Primrose and Wolf Lake,"Athabasca, Cold Lake",9140K,Commercial-CSS,9071.36
2010-01-01,Devon NEC Corporation (¹),Jackfish 1,Athabasca,10097D,Commercial-SAGD,4434.35
2010-01-01,Shell Canada Limited,Orion,Cold Lake,10103E,Commercial-SAGD,402.46
2010-01-01,Connacher Oil And Gas Limited,Great Divide,Athabasca,10587C,Commercial-SAGD,1050.3
2010-01-01,Meg Energy Corp.,Christina Lake,Athabasca,10773D,Commercial-SAGD,1222.04
2010-01-01,Statoil Canada Ltd. (¹),Leismer,Athabasca,10935E,Commercial-SAGD,0.0
2010-01-01,Connacher Oil And Gas Limited,Algar,Athabasca,11253C,Commercial-SAGD,0.0
2010-01-01,Cenovus Energy Inc.,Pelican Lake,Athabasca,11469,Commercial-SAGD,0.0
2010-01-01,Cenovus FCCL Ltd.,Christina Lake,Athabasca,8591O,Commercial-SAGD,2295.47
2010-01-01,Cenovus FCCL Ltd.,Foster Creek,Athabasca,8623Z,Commercial-SAGD,15683.1
2010-01-01,Suncor Energy Inc.,Mackay River,Athabasca,8668G,Commercial-SAGD,4644.87
2010-01-01,Japan Canada Oil Sands Limited (¹),Hangingstone,Athabasca,8788I,Commercial-SAGD,1186.33
2010-01-01,Suncor Energy Inc. (¹),Firebag,Athabasca,8870R,Commercial-SAGD,8404.58
2010-01-01,Total E&P Joslyn Ltd. (¹),Joslyn Creek,Athabasca,9272E,Commercial-SAGD,0.0
